nickname,full_name,family,size_b,in_paper
Qwen,Qwen2.5-7B-Instruct,Qwen2.5,7,TRUE
GPT,GPT-4.1,GPT,NA,TRUE
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,Qwen2.5,0.5,FALSE
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,Qwen2.5,1.5,FALSE
Qwen2.5-3B,Qwen2.5-3B-Instruct,Qwen2.5,3,FALSE
Qwen2.5-14B,Qwen2.5-14B-Instruct,Qwen2.5,14,FALSE
Qwen2.5-32B,Qwen2.5-32B-Instruct,Qwen2.5,32,FALSE
Qwen2.5-72B,Qwen2.5-72B-Instruct,Qwen2.5,72,FALSE
Qwen2.5-7B-rep,Qwen2.5-7B-Instruct-reproduction,Qwen2.5,7,FALSE
Qwen3-0.6B,Qwen3-0.6B,Qwen3,0.6,FALSE
Qwen3-1.7B,Qwen3-1.7B,Qwen3,1.7,FALSE
Qwen3-4B,Qwen3-4B,Qwen3,4,FALSE
Qwen3-8B,Qwen3-8B,Qwen3,8,FALSE
Qwen3-14B,Qwen3-14B,Qwen3,14,FALSE
Qwen3-32B,Qwen3-32B,Qwen3,32,FALSE
Qwen3-30B-A3B,Qwen3-30B-A3B,Qwen3,30,FALSE
Qwen3.8-27B,Qwen3.8-27B,Qwen3.8,27,FALSE
Llama-3.1-8B,Llama-3.1-8B-Instruct,Llama-3.1,8,FALSE
Llama-3.1-70B,Llama-3.1-70B-Instruct,Llama-3.1,70,FALSE
Llama-3.2-1B,Llama-3.2-1B-Instruct,Llama-3.2,1,FALSE
Llama-3.2-3B,Llama-3.2-3B-Instruct,Llama-3.2,3,FALSE
Gemma-4-E2B,gemma-4-E2B-it,Gemma-4,2,FALSE
Gemma-4-E4B,gemma-4-E4B-it,Gemma-4,4,FALSE
Gemma-4-26B-A4B,gemma-4-26B-A4B-it,Gemma-4,26,FALSE
Gemma-4-31B,gemma-4-31B-it,Gemma-4,31,FALSE
DeepSeek,deepseek-chat,DeepSeek,NA,FALSE
Gemini-2.5-Flash-Lite,gemini-2.5-flash-lite-no-thinking,Gemini-2.5,NA,FALSE
Gemini-2.5-Flash,gemini-2.5-flash-no-thinking,Gemini-2.5,NA,FALSE
Gemini-2.5-Pro,gemini-2.5-pro-thinking-budget-128,Gemini-2.5,NA,FALSE
